Name,Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
Cody Zeller,-2.98,20.95,6.75,3.77,0.58,0.08,6.83,1.79,0.56,0.35,1.06,2.52,9.4
Jalen McDaniels,-3.74,19.22,6.04,2.83,2.23,0.74,3.6,1.13,0.6,0.4,0.96,2.02,7.36
Gordon Hayward,0.0,34.0,14.95,7.07,4.66,1.93,5.86,4.11,1.18,0.32,2.07,1.68,19.61
Malik Monk,-2.52,20.91,9.5,4.12,5.05,2.02,2.4,2.07,0.45,0.1,1.31,1.12,11.67
Brad Wanamaker,-0.74,17.27,4.9,1.89,1.39,0.26,1.72,2.85,0.7,0.18,1.16,1.54,5.51
Vernon Carey,-3.11,6.04,1.89,0.95,0.37,0.05,1.42,0.11,0.05,0.26,0.26,0.68,2.42
Nick Richards,-0.89,3.48,0.5,0.22,0.06,0.0,0.61,0.11,0.0,0.0,0.17,0.39,0.83
Grant Riller,-11.0,3.89,1.71,1.14,0.57,0.29,0.14,0.43,0.14,0.0,0.14,0.0,2.57
Nate Darling,-5.43,3.73,1.0,0.29,1.0,0.29,0.14,0.14,0.0,0.14,0.14,0.14,1.29
Duncan Robinson,0.03,31.41,9.96,4.38,8.51,3.47,3.47,1.76,0.6,0.28,1.12,2.51,13.08
Bam Adebayo,-0.73,33.48,12.5,7.12,0.12,0.03,8.95,5.41,1.17,1.03,2.64,2.27,18.7
Andre Iguodala,0.84,21.25,3.94,1.51,2.89,0.95,3.51,2.25,0.9,0.56,1.06,1.43,4.37
Precious Achiuwa,-0.66,12.08,3.74,2.03,0.02,0.0,3.41,0.48,0.33,0.46,0.7,1.49,4.98
Kendrick Nunn,-0.32,29.47,11.75,5.7,5.71,2.18,3.2,2.64,0.93,0.25,1.43,1.93,14.57
Tyler Herro,-0.06,30.28,12.94,5.69,5.5,1.98,4.96,3.41,0.65,0.31,1.87,1.31,15.09
Jimmy Butler,2.48,33.55,14.15,7.04,1.96,0.48,6.9,7.1,2.08,0.35,2.1,1.37,21.46
Goran Dragić,1.18,26.73,11.1,4.8,4.88,1.82,3.38,4.38,0.66,0.16,2.36,2.26,13.44
Gabe Vincent,-0.3,13.1,4.66,1.76,2.98,0.92,1.12,1.34,0.42,0.04,0.68,1.58,4.84
Max Strus,-4.36,12.99,4.79,2.18,3.79,1.28,1.05,0.62,0.28,0.05,0.21,1.1,6.05
KZ Okpala,0.19,12.08,2.59,0.97,1.35,0.32,1.84,0.51,0.27,0.3,0.41,1.59,2.49
Trevor Ariza,0.37,28.03,8.03,3.3,4.77,1.67,4.8,1.83,1.03,0.6,0.7,1.83,9.4
Dewayne Dedmon,3.0,13.15,4.06,2.88,0.31,0.06,5.38,0.75,0.56,0.38,0.81,2.25,7.06
Nemanja Bjelica,-3.84,16.08,5.3,2.41,2.3,0.73,3.43,1.86,0.41,0.14,0.89,1.84,6.54
Udonis Haslem,12.0,2.67,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
